job_id,job_title,salary_usd,salary_currency,salary_local,experience_level,employment_type,company_location,company_size,employee_residence,remote_ratio,required_skills,education_required,years_experience,industry,posting_date,application_deadline,job_description_length,benefits_score,company_name,source_file,days_to_deadline,skills_count,home_country_match,experience_level_ord,education_required_ord
AI00012,Deep Learning Engineer,76559.0,USD,76559.0,EN,FL,United States,S,United States,100,"Data Visualization, Mathematics, PyTorch, GCP",Bachelor,1,Government,2025-02-09,2025-04-14,694,8.3,Machine Intelligence Group,ai_job_dataset1.csv,64,4,1,1,3
AI00013,Principal Data Scientist,185834.0,USD,185834.0,EX,CT,United States,L,United States,100,"Linux, Data Visualization, Python, TensorFlow",Associate,14,Telecommunications,2024-03-27,2024-06-03,1710,8.9,Autonomous Tech,ai_job_dataset1.csv,68,4,1,4,2
AI00014,Principal Data Scientist,89801.0,USD,89801.0,MI,PT,Sweden,M,Belgium,100,"Linux, MLOps, Deep Learning",Master,3,Healthcare,2024-10-30,2025-01-06,1361,8.7,Cloud AI Solutions,ai_job_dataset1.csv,68,3,0,2,4
AI00015,Principal Data Scientist,252601.0,USD,252601.0,EX,PT,Norway,L,Norway,100,"Kubernetes, SQL, AWS, Git, Computer Vision",Master,19,Gaming,2024-07-24,2024-08-14,572,5.1,TechCorp Inc,ai_job_dataset1.csv,21,5,1,4,4
AI00016,AI Product Manager,20520.0,USD,20520.0,EN,FT,India,S,India,0,"Hadoop, Git, Computer Vision, Kubernetes, Data Visualization",Master,0,Gaming,2024-08-22,2024-10-05,2455,7.5,Predictive Systems,ai_job_dataset1.csv,44,5,1,1,4
AI00017,Robotics Engineer,192789.0,CHF,173510.0,SE,PT,Switzerland,S,Switzerland,100,"Tableau, Git, Python, Java",Master,5,Healthcare,2024-03-27,2024-06-08,524,5.9,Quantum Computing Inc,ai_job_dataset1.csv,73,4,1,3,4
AI00018,Machine Learning Researcher,107184.0,SGD,139339.0,SE,FL,Singapore,S,Singapore,50,"Azure, GCP, Computer Vision",Master,7,Automotive,2024-05-07,2024-05-28,2111,9.2,DeepTech Ventures,ai_job_dataset1.csv,21,3,1,3,4
AI00019,Robotics Engineer,141909.0,EUR,120623.0,SE,FT,Netherlands,M,Netherlands,0,"Git, Kubernetes, MLOps, Spark",Associate,6,Healthcare,2024-12-22,2025-01-20,1601,7.8,Cloud AI Solutions,ai_job_dataset1.csv,29,4,1,3,2
AI00020,Data Engineer,118238.0,USD,118238.0,SE,FL,Ireland,M,Ireland,100,"AWS, Python, Azure, SQL, Computer Vision",Associate,7,Education,2024-11-07,2025-01-02,2431,8.2,TechCorp Inc,ai_job_dataset1.csv,56,5,1,3,2
AI00021,Data Scientist,155210.0,AUD,209534.0,SE,PT,Australia,L,Argentina,0,"Spark, NLP, AWS",Master,7,Energy,2025-01-24,2025-03-18,595,9.7,Neural Networks Co,ai_job_dataset1.csv,53,3,0,3,4
AI00022,Data Engineer,96699.0,AUD,130544.0,SE,FT,Australia,S,Australia,0,"GCP, Linux, Mathematics",PhD,5,Technology,2025-03-29,2025-04-13,582,9.7,TechCorp Inc,ai_job_dataset1.csv,15,3,1,3,5
AI00023,AI Software Engineer,161477.0,EUR,137255.0,SE,FT,France,L,France,50,"Mathematics, Spark, Linux",Bachelor,8,Real Estate,2025-02-04,2025-03-03,1861,9.5,DataVision Ltd,ai_job_dataset1.csv,27,3,1,3,3
AI00024,AI Software Engineer,276912.875,USD,307573.25,EX,CT,Denmark,L,Denmark,50,"Data Visualization, Azure, Statistics",PhD,18,Transportation,2025-04-29,2025-06-21,1284,7.6,Autonomous Tech,ai_job_dataset1.csv,53,3,1,4,5
AI00025,ML Ops Engineer,62089.0,CAD,77611.0,MI,CT,Canada,S,Singapore,50,"Python, GCP, Linux, SQL, Deep Learning",PhD,3,Media,2024-03-18,2024-04-25,2264,9.7,Predictive Systems,ai_job_dataset1.csv,38,5,0,2,5
AI00026,Principal Data Scientist,77985.0,USD,77985.0,EN,CT,Denmark,S,Denmark,0,"SQL, TensorFlow, Computer Vision, Kubernetes",Associate,0,Automotive,2025-03-07,2025-04-03,655,9.4,Neural Networks Co,ai_job_dataset1.csv,27,4,1,1,2
AI00027,Robotics Engineer,55315.0,EUR,47018.0,EN,PT,Austria,S,Austria,0,"Spark, Deep Learning, SQL, NLP, Python",PhD,0,Media,2025-01-09,2025-03-22,1107,9.5,Future Systems,ai_job_dataset1.csv,72,5,1,1,5
AI00028,AI Architect,246647.0,SGD,307573.25,EX,PT,Singapore,M,Singapore,50,"Scala, Mathematics, SQL",Master,16,Telecommunications,2024-08-08,2024-08-26,2347,6.6,DeepTech Ventures,ai_job_dataset1.csv,18,3,1,4,4
AI00029,Deep Learning Engineer,29050.0,USD,29050.0,EN,FT,China,S,Germany,0,"PyTorch, Kubernetes, Deep Learning, Hadoop",Associate,1,Consulting,2025-02-06,2025-03-19,555,5.2,AI Innovations,ai_job_dataset1.csv,41,4,0,1,2
AI00030,Head of AI,120599.0,GBP,90449.0,MI,CT,United Kingdom,L,United Kingdom,50,"Linux, AWS, Python",Master,4,Energy,2024-09-21,2024-11-07,699,6.4,Quantum Computing Inc,ai_job_dataset1.csv,47,3,1,2,4
AI00031,AI Specialist,276912.875,SGD,307573.25,EX,PT,Singapore,L,Singapore,50,"Python, Git, TensorFlow",Associate,13,Healthcare,2024-10-04,2024-11-05,529,9.0,Future Systems,ai_job_dataset1.csv,32,3,1,4,2
AI00032,Data Engineer,158734.0,CAD,198418.0,EX,PT,Canada,S,South Korea,50,"Data Visualization, NLP, Computer Vision",Master,16,Retail,2024-05-20,2024-07-29,1607,6.2,Future Systems,ai_job_dataset1.csv,70,3,0,4,4
AI00033,Data Engineer,139438.0,JPY,307573.25,SE,FL,Japan,L,Japan,0,"Python, Spark, Git, Data Visualization, Docker",PhD,9,Retail,2025-03-16,2025-05-12,1826,9.9,Cognitive Computing,ai_job_dataset1.csv,57,5,1,3,5
AI00034,Head of AI,131432.0,SGD,170862.0,SE,PT,Singapore,M,Sweden,50,"Kubernetes, Data Visualization, Deep Learning, Azure, Computer Vision",Master,5,Manufacturing,2024-05-03,2024-07-15,1134,5.3,Cognitive Computing,ai_job_dataset1.csv,73,5,0,3,4
AI00035,Data Analyst,140290.0,USD,140290.0,MI,PT,Denmark,L,Denmark,50,"PyTorch, SQL, R, Azure",Associate,4,Real Estate,2024-07-18,2024-09-26,2437,5.7,DeepTech Ventures,ai_job_dataset1.csv,70,4,1,2,2
AI00036,Research Scientist,90858.0,EUR,77229.0,MI,CT,France,L,France,50,"Scala, PyTorch, Deep Learning, Kubernetes, Java",Bachelor,2,Real Estate,2024-08-13,2024-09-13,1793,7.1,DataVision Ltd,ai_job_dataset1.csv,31,5,1,2,3
AI00037,Autonomous Systems Engineer,126597.0,GBP,94948.0,SE,FL,United Kingdom,L,Singapore,50,"PyTorch, Java, TensorFlow, Computer Vision, SQL",Master,6,Government,2024-03-30,2024-04-13,2236,7.8,Machine Intelligence Group,ai_job_dataset1.csv,14,5,0,3,4
AI00038,AI Architect,53274.0,USD,53274.0,EN,FL,Finland,M,Finland,100,"Spark, Python, Statistics, Hadoop, TensorFlow",Associate,0,Automotive,2025-03-22,2025-04-12,1444,6.0,Autonomous Tech,ai_job_dataset1.csv,21,5,1,1,2
AI00039,Machine Learning Researcher,155357.0,USD,155357.0,EX,FL,Sweden,S,France,100,"TensorFlow, SQL, Computer Vision, Kubernetes",Bachelor,17,Real Estate,2024-12-11,2025-01-01,830,5.2,Cloud AI Solutions,ai_job_dataset1.csv,21,4,0,4,3
AI00040,Principal Data Scientist,116292.0,EUR,98848.0,MI,FL,Netherlands,M,Hungary,50,"Java, Docker, Python",Bachelor,4,Gaming,2024-07-28,2024-09-06,2404,7.9,Quantum Computing Inc,ai_job_dataset1.csv,40,3,0,2,3
AI00041,Computer Vision Engineer,140363.0,EUR,119309.0,SE,CT,Austria,L,Austria,100,"MLOps, Hadoop, TensorFlow, Kubernetes",Master,6,Manufacturing,2025-01-31,2025-04-06,1852,9.8,TechCorp Inc,ai_job_dataset1.csv,65,4,1,3,4
AI00042,Research Scientist,162306.0,USD,162306.0,SE,CT,Israel,L,Luxembourg,0,"Statistics, SQL, Tableau, Hadoop, R",Master,9,Energy,2024-11-12,2024-12-08,1066,5.6,Neural Networks Co,ai_job_dataset1.csv,26,5,0,3,4
AI00043,Data Analyst,134224.0,USD,134224.0,EX,FT,China,L,China,0,"Python, SQL, Git",Master,16,Technology,2024-10-13,2024-11-15,1743,6.6,Quantum Computing Inc,ai_job_dataset1.csv,33,3,1,4,4
AI00044,Research Scientist,77500.0,GBP,58125.0,MI,CT,United Kingdom,S,Norway,0,"Mathematics, Hadoop, TensorFlow",PhD,3,Technology,2024-08-20,2024-10-29,811,10.0,Machine Intelligence Group,ai_job_dataset1.csv,70,3,0,2,5
AI00045,Computer Vision Engineer,154083.0,USD,154083.0,SE,PT,Ireland,L,Ireland,50,"Hadoop, Python, Deep Learning",Associate,7,Manufacturing,2024-01-09,2024-02-16,1969,7.7,Neural Networks Co,ai_job_dataset1.csv,38,3,1,3,2
AI00046,Machine Learning Engineer,79445.0,USD,79445.0,MI,FL,Ireland,M,Ireland,50,"Python, Statistics, TensorFlow, Computer Vision",Bachelor,4,Real Estate,2024-09-28,2024-10-16,511,7.2,Cloud AI Solutions,ai_job_dataset1.csv,18,4,1,2,3
AI00047,Head of AI,157466.0,CHF,141719.0,SE,FL,Switzerland,M,Switzerland,100,"Git, Data Visualization, Spark, Computer Vision, Azure",Associate,8,Automotive,2024-01-21,2024-03-03,547,5.2,Future Systems,ai_job_dataset1.csv,42,5,1,3,2
AI00048,Head of AI,38972.0,USD,38972.0,MI,FT,India,L,India,0,"Kubernetes, Mathematics, TensorFlow, MLOps",PhD,4,Real Estate,2024-01-28,2024-03-09,2163,7.1,AI Innovations,ai_job_dataset1.csv,41,4,1,2,5
AI00049,Deep Learning Engineer,66090.0,CAD,82613.0,MI,PT,Canada,S,Canada,0,"AWS, SQL, R, Scala",PhD,3,Technology,2025-04-10,2025-04-29,1901,5.3,DeepTech Ventures,ai_job_dataset1.csv,19,4,1,2,5
AI00050,Data Analyst,47943.0,USD,47943.0,MI,PT,China,L,China,50,"TensorFlow, Mathematics, NLP, Docker",PhD,2,Finance,2024-11-23,2025-01-13,2483,6.2,Smart Analytics,ai_job_dataset1.csv,51,4,1,2,5
AI00051,ML Ops Engineer,217318.0,USD,217318.0,EX,PT,Ireland,M,Malaysia,100,"SQL, PyTorch, Hadoop",Bachelor,17,Finance,2024-11-14,2024-12-22,1647,7.8,Cognitive Computing,ai_job_dataset1.csv,38,3,0,4,3
AI00052,AI Architect,84705.0,USD,84705.0,MI,CT,Norway,S,Norway,50,"Scala, Spark, PyTorch",PhD,3,Government,2024-12-19,2025-01-11,879,6.6,Autonomous Tech,ai_job_dataset1.csv,23,3,1,2,5
AI00053,NLP Engineer,36076.0,USD,36076.0,SE,FT,India,M,India,50,"Python, TensorFlow, Data Visualization",Master,7,Media,2024-08-14,2024-09-23,580,7.5,Cognitive Computing,ai_job_dataset1.csv,40,3,1,3,4
AI00054,AI Consultant,160216.0,USD,160216.0,EX,FT,Israel,L,Israel,100,"Deep Learning, Linux, Python, SQL",Master,15,Education,2024-05-09,2024-05-29,941,6.0,Predictive Systems,ai_job_dataset1.csv,20,4,1,4,4
AI00055,Deep Learning Engineer,60826.0,GBP,45620.0,EN,FT,United Kingdom,S,United Kingdom,0,"SQL, Kubernetes, Azure",Bachelor,0,Energy,2024-11-02,2024-11-30,1731,6.3,Autonomous Tech,ai_job_dataset1.csv,28,3,1,1,3
AI00056,Deep Learning Engineer,237320.0,GBP,177990.0,EX,PT,United Kingdom,M,United Kingdom,0,"Kubernetes, MLOps, Scala",Bachelor,16,Real Estate,2024-11-12,2024-12-28,991,7.7,DataVision Ltd,ai_job_dataset1.csv,46,3,1,4,3
AI00057,Robotics Engineer,60243.0,EUR,51207.0,EN,FL,France,M,France,100,"Scala, PyTorch, Data Visualization, Linux, Mathematics",Master,1,Healthcare,2024-12-05,2024-12-20,1661,8.8,Future Systems,ai_job_dataset1.csv,15,5,1,1,4
AI00058,Head of AI,74091.0,JPY,307573.25,EN,PT,Japan,M,Japan,50,"Deep Learning, NLP, R, Linux, SQL",Bachelor,1,Consulting,2025-01-18,2025-03-23,1295,7.2,Quantum Computing Inc,ai_job_dataset1.csv,64,5,1,1,3
AI00059,AI Specialist,68535.0,EUR,58255.0,EN,FT,France,L,France,100,"SQL, Scala, PyTorch",Associate,1,Media,2024-05-01,2024-06-17,1943,5.5,Machine Intelligence Group,ai_job_dataset1.csv,47,3,1,1,2
AI00060,Robotics Engineer,99401.0,USD,99401.0,MI,FL,Norway,S,Norway,50,"Hadoop, Kubernetes, Data Visualization, Python, Linux",Bachelor,3,Healthcare,2024-03-20,2024-04-20,1371,9.4,Quantum Computing Inc,ai_job_dataset1.csv,31,5,1,2,3
AI00061,Machine Learning Researcher,67632.0,USD,67632.0,EN,FT,Ireland,L,Ireland,0,"Linux, GCP, Deep Learning",Master,0,Government,2024-07-13,2024-08-10,2133,8.9,Advanced Robotics,ai_job_dataset1.csv,28,3,1,1,4
AI00062,ML Ops Engineer,133163.0,EUR,113189.0,SE,CT,Netherlands,M,Netherlands,0,"SQL, Statistics, MLOps, PyTorch, Kubernetes",Associate,6,Media,2025-01-03,2025-01-21,2141,7.9,Neural Networks Co,ai_job_dataset1.csv,18,5,1,3,2
AI00063,Robotics Engineer,125752.0,USD,125752.0,MI,FT,Norway,S,Norway,0,"NLP, Statistics, Scala",Master,4,Automotive,2024-05-17,2024-06-24,2390,6.0,Machine Intelligence Group,ai_job_dataset1.csv,38,3,1,2,4
AI00064,AI Product Manager,70927.0,JPY,307573.25,EN,CT,Japan,M,Japan,0,"Git, Computer Vision, Docker, SQL, Hadoop",Associate,1,Technology,2024-03-07,2024-04-05,1847,9.3,Quantum Computing Inc,ai_job_dataset1.csv,29,5,1,1,2
AI00065,Data Engineer,80810.0,GBP,60608.0,EN,PT,United Kingdom,L,United Kingdom,0,"Azure, MLOps, Python, Linux, TensorFlow",Master,1,Energy,2024-10-30,2025-01-01,1476,5.4,Algorithmic Solutions,ai_job_dataset1.csv,63,5,1,1,4
AI00066,Machine Learning Engineer,59614.0,SGD,77498.0,EN,CT,Singapore,S,Singapore,100,"Java, Kubernetes, GCP, Linux, Data Visualization",Associate,1,Healthcare,2024-11-07,2024-12-19,1581,7.3,Quantum Computing Inc,ai_job_dataset1.csv,42,5,1,1,2
AI00067,Robotics Engineer,151907.0,EUR,129121.0,EX,FT,Germany,S,Ghana,50,"Python, R, MLOps",Associate,16,Media,2024-09-21,2024-10-16,1433,6.1,Quantum Computing Inc,ai_job_dataset1.csv,25,3,0,4,2
AI00068,Data Scientist,76317.0,USD,76317.0,EX,CT,India,M,India,0,"TensorFlow, Deep Learning, Spark",Bachelor,14,Energy,2024-06-19,2024-07-15,1228,9.1,DataVision Ltd,ai_job_dataset1.csv,26,3,1,4,3
AI00069,AI Research Scientist,160534.0,USD,160534.0,SE,FL,Denmark,M,Denmark,100,"GCP, SQL, MLOps",Master,9,Gaming,2024-06-10,2024-07-07,1651,8.3,Advanced Robotics,ai_job_dataset1.csv,27,3,1,3,4
AI00070,AI Consultant,40687.0,USD,40687.0,MI,FT,India,L,India,50,"SQL, R, GCP, PyTorch, AWS",Master,3,Transportation,2024-07-16,2024-08-25,804,7.3,Algorithmic Solutions,ai_job_dataset1.csv,40,5,1,2,4
AI00071,Computer Vision Engineer,129265.0,AUD,174508.0,SE,FL,Australia,S,Australia,0,"Java, Scala, TensorFlow",Master,5,Consulting,2025-04-06,2025-05-07,2410,6.9,DataVision Ltd,ai_job_dataset1.csv,31,3,1,3,4
AI00072,NLP Engineer,94396.0,USD,94396.0,EX,PT,China,M,China,100,"Scala, Python, Tableau, Mathematics",Master,18,Government,2024-07-30,2024-08-18,1033,9.5,Advanced Robotics,ai_job_dataset1.csv,19,4,1,4,4
AI00073,NLP Engineer,158237.0,USD,158237.0,EX,CT,South Korea,L,South Korea,0,"Python, NLP, GCP",Master,11,Finance,2025-01-24,2025-03-29,1676,6.0,Quantum Computing Inc,ai_job_dataset1.csv,64,3,1,4,4
AI00074,Robotics Engineer,239068.0,USD,239068.0,EX,PT,Denmark,L,Denmark,50,"TensorFlow, Java, NLP, Hadoop, GCP",PhD,18,Media,2024-08-26,2024-10-30,1321,6.8,Autonomous Tech,ai_job_dataset1.csv,65,5,1,4,5
AI00075,Robotics Engineer,81401.0,USD,81401.0,MI,FL,Finland,M,Belgium,0,"Java, Spark, Data Visualization, AWS, Git",Associate,2,Retail,2025-02-07,2025-04-11,1930,6.3,Future Systems,ai_job_dataset1.csv,63,5,0,2,2
AI00076,AI Specialist,144229.0,CHF,129806.0,MI,FT,Switzerland,M,Japan,0,"Python, TensorFlow, MLOps, PyTorch",PhD,2,Media,2024-01-02,2024-03-02,1213,9.5,DeepTech Ventures,ai_job_dataset1.csv,60,4,0,2,5
AI00077,AI Consultant,78936.0,EUR,67096.0,MI,FL,Germany,S,Germany,0,"Mathematics, Tableau, R, NLP, SQL",Bachelor,4,Consulting,2024-11-30,2025-01-03,697,6.9,Cloud AI Solutions,ai_job_dataset1.csv,34,5,1,2,3
AI00078,AI Consultant,101054.0,USD,101054.0,SE,PT,South Korea,L,United Kingdom,0,"PyTorch, Python, TensorFlow",Bachelor,6,Healthcare,2025-02-04,2025-03-20,2396,8.8,DeepTech Ventures,ai_job_dataset1.csv,44,3,0,3,3
AI00079,AI Specialist,91807.0,EUR,78036.0,SE,FT,Austria,S,Austria,50,"Linux, Azure, Scala, Python",Master,9,Education,2024-07-21,2024-09-13,1519,8.3,TechCorp Inc,ai_job_dataset1.csv,54,4,1,3,4
AI00080,Machine Learning Engineer,49858.0,EUR,42379.0,EN,CT,Austria,S,Singapore,100,"PyTorch, Spark, Linux",Bachelor,1,Healthcare,2024-01-25,2024-04-02,1215,9.2,AI Innovations,ai_job_dataset1.csv,68,3,0,1,3
AI00081,Robotics Engineer,80596.0,EUR,68507.0,EN,FT,Austria,L,Switzerland,0,"Kubernetes, Scala, PyTorch, Mathematics",Master,1,Education,2024-06-27,2024-08-26,1512,6.8,Digital Transformation LLC,ai_job_dataset1.csv,60,4,0,1,4
AI00082,Head of AI,76026.0,USD,76026.0,MI,FT,Sweden,M,Sweden,50,"Tableau, SQL, R, Scala",PhD,4,Healthcare,2025-02-12,2025-03-24,1079,8.0,Predictive Systems,ai_job_dataset1.csv,40,4,1,2,5
AI00083,Deep Learning Engineer,84841.0,USD,84841.0,MI,CT,Sweden,L,Sweden,0,"Azure, Linux, TensorFlow, GCP",Associate,4,Transportation,2024-11-18,2025-01-05,2456,5.7,Cognitive Computing,ai_job_dataset1.csv,48,4,1,2,2
AI00084,Data Scientist,158900.0,CHF,143010.0,SE,FL,Switzerland,M,Switzerland,50,"Python, Statistics, Mathematics, Docker, TensorFlow",Associate,8,Finance,2024-06-14,2024-07-05,2367,6.0,Quantum Computing Inc,ai_job_dataset1.csv,21,5,1,3,2
AI00085,Autonomous Systems Engineer,153858.0,EUR,130779.0,EX,CT,Germany,S,Germany,50,"MLOps, Azure, Java",Master,13,Gaming,2025-04-29,2025-06-21,2133,5.1,Cloud AI Solutions,ai_job_dataset1.csv,53,3,1,4,4
AI00086,Data Scientist,115314.0,USD,115314.0,MI,CT,Denmark,M,Finland,0,"Java, Git, R, Azure",Bachelor,3,Real Estate,2024-06-01,2024-06-27,1783,7.9,Smart Analytics,ai_job_dataset1.csv,26,4,0,2,3
AI00087,Machine Learning Engineer,181068.0,USD,181068.0,EX,FT,Israel,S,Israel,100,"R, Java, Hadoop, Mathematics",PhD,13,Transportation,2024-01-26,2024-03-25,1322,8.5,Machine Intelligence Group,ai_job_dataset1.csv,59,4,1,4,5
AI00088,AI Software Engineer,119021.0,USD,119021.0,EN,FT,Denmark,L,Portugal,0,"Computer Vision, Docker, Linux, GCP",PhD,1,Transportation,2025-03-07,2025-05-10,1461,7.3,DataVision Ltd,ai_job_dataset1.csv,64,4,0,1,5
AI00089,Data Analyst,219746.0,USD,219746.0,EX,FL,Israel,M,Czech Republic,100,"R, Python, Scala, TensorFlow",PhD,15,Finance,2024-07-02,2024-09-12,1485,7.0,Smart Analytics,ai_job_dataset1.csv,72,4,0,4,5
AI00090,AI Consultant,115774.0,USD,115774.0,EX,FL,China,L,China,50,"Hadoop, Scala, NLP, PyTorch, SQL",Associate,10,Real Estate,2024-02-04,2024-03-09,1618,5.3,DataVision Ltd,ai_job_dataset1.csv,34,5,1,4,2
AI00091,AI Consultant,130984.0,CHF,117886.0,EN,PT,Switzerland,L,Philippines,50,"MLOps, Deep Learning, Kubernetes, Azure, GCP",Bachelor,1,Retail,2024-01-08,2024-03-20,1774,5.3,DataVision Ltd,ai_job_dataset1.csv,72,5,0,1,3
AI00092,ML Ops Engineer,191223.0,CHF,172101.0,EX,FT,Switzerland,S,Germany,0,"NLP, Azure, SQL",PhD,18,Healthcare,2024-04-07,2024-06-07,1926,6.8,Neural Networks Co,ai_job_dataset1.csv,61,3,0,4,5
AI00093,AI Consultant,155502.0,USD,155502.0,SE,FT,Norway,M,Italy,50,"Python, NLP, AWS, Spark",PhD,9,Consulting,2025-01-29,2025-02-22,2449,7.6,Future Systems,ai_job_dataset1.csv,24,4,0,3,5
AI00094,AI Specialist,86140.0,EUR,73219.0,MI,PT,Germany,L,South Korea,50,"Scala, Kubernetes, Deep Learning, AWS",Master,4,Real Estate,2025-03-11,2025-04-12,1816,7.3,Predictive Systems,ai_job_dataset1.csv,32,4,0,2,4
AI00095,AI Architect,96028.0,GBP,72021.0,MI,FL,United Kingdom,L,Australia,0,"Data Visualization, MLOps, GCP, PyTorch",Bachelor,4,Healthcare,2025-03-09,2025-03-28,1878,6.6,Future Systems,ai_job_dataset1.csv,19,4,0,2,3
AI00096,Principal Data Scientist,134920.0,USD,134920.0,SE,PT,United States,S,United States,0,"SQL, Mathematics, Data Visualization, Kubernetes",Associate,7,Consulting,2025-04-03,2025-05-12,1930,6.7,Predictive Systems,ai_job_dataset1.csv,39,4,1,3,2
AI00097,Research Scientist,107694.0,USD,107694.0,SE,FL,Ireland,M,Estonia,50,"Spark, Linux, MLOps, R",Associate,5,Retail,2024-03-20,2024-04-22,2292,5.1,Future Systems,ai_job_dataset1.csv,33,4,0,3,2
AI00098,Deep Learning Engineer,114301.0,USD,114301.0,MI,FT,Finland,L,Finland,0,"Tableau, MLOps, Python",Bachelor,4,Real Estate,2025-02-08,2025-03-05,1506,7.5,Digital Transformation LLC,ai_job_dataset1.csv,25,3,1,2,3
AI00099,Machine Learning Researcher,92728.0,GBP,69546.0,MI,FT,United Kingdom,L,United Kingdom,0,"NLP, Git, Kubernetes, Azure",Bachelor,4,Transportation,2024-12-25,2025-02-05,1948,9.3,Cognitive Computing,ai_job_dataset1.csv,42,4,1,2,3
AI00100,NLP Engineer,76826.0,SGD,99874.0,EN,PT,Singapore,M,Singapore,50,"Git, R, Statistics, PyTorch, Deep Learning",Bachelor,1,Government,2025-04-08,2025-05-10,804,7.4,Predictive Systems,ai_job_dataset1.csv,32,5,1,1,3
AI00101,AI Consultant,48870.0,USD,48870.0,SE,PT,India,L,India,0,"Hadoop, Java, Azure, Spark, Statistics",Associate,7,Healthcare,2025-03-26,2025-05-16,1108,5.6,Cognitive Computing,ai_job_dataset1.csv,51,5,1,3,2
AI00102,Data Scientist,89527.0,AUD,120861.0,MI,FT,Australia,L,United States,50,"Linux, Azure, SQL, R, Java",Master,4,Finance,2024-12-09,2024-12-30,1299,5.8,Predictive Systems,ai_job_dataset1.csv,21,5,0,2,4
AI00103,Autonomous Systems Engineer,81103.0,AUD,109489.0,EN,CT,Australia,L,Australia,0,"Mathematics, SQL, Kubernetes",Master,0,Media,2024-05-26,2024-08-07,2055,7.0,Digital Transformation LLC,ai_job_dataset1.csv,73,3,1,1,4
AI00104,Machine Learning Engineer,276912.875,USD,283428.0,EX,CT,Denmark,L,Denmark,0,"Python, TensorFlow, MLOps, Data Visualization",Associate,13,Healthcare,2025-03-10,2025-05-11,1275,5.1,Smart Analytics,ai_job_dataset1.csv,62,4,1,4,2
AI00105,AI Product Manager,104906.0,USD,104906.0,MI,FL,United States,S,Portugal,50,"PyTorch, Java, Spark, Statistics",Bachelor,3,Technology,2025-01-26,2025-03-28,2101,8.0,Cognitive Computing,ai_job_dataset1.csv,61,4,0,2,3
